TimePeriod,GeoType,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean ppb
Winter 2014-15,CD,206,6,Belmont and East Tremont (CD6),1.0,1.7,1.2
Winter 2014-15,CD,207,6,Kingsbridge Heights and Bedford (CD7),1.5,2.1,1.8
Winter 2014-15,CD,208,6,Riverdale and Fieldston (CD8),0.8,1.3,1.0
Winter 2014-15,CD,209,6,Parkchester and Soundview (CD9),0.8,1.2,1.0
Winter 2014-15,CD,210,6,Throgs Neck and Co-op City (CD10),0.8,1.0,0.9
Winter 2014-15,CD,211,6,Morris Park and Bronxdale (CD11),1.0,1.3,1.1
Winter 2014-15,CD,212,6,Williamsbridge and Baychester (CD12),1.0,1.3,1.2
Winter 2014-15,CD,301,6,Greenpoint and Williamsburg (CD1),0.5,0.6,0.6
Winter 2014-15,CD,302,6,Fort Greene and Brooklyn Heights (CD2),0.5,0.5,0.5
Winter 2014-15,CD,303,6,Bedford Stuyvesant (CD3),0.5,0.6,0.6
Winter 2014-15,CD,304,6,Bushwick (CD4),0.5,0.6,0.6
Winter 2014-15,CD,305,6,East New York and Starrett City (CD5),0.4,0.5,0.5
Winter 2014-15,CD,306,6,Park Slope and Carroll Gardens (CD6),0.4,0.5,0.4
Winter 2014-15,CD,307,6,Sunset Park (CD7),0.4,0.5,0.4
Winter 2014-15,CD,308,6,Crown Heights and Prospect Heights (CD8),0.5,0.5,0.5
Winter 2014-15,CD,309,6,South Crown Heights and Lefferts Gardens (CD9),0.5,0.6,0.5
Winter 2014-15,CD,310,6,Bay Ridge and Dyker Heights (CD10),0.4,0.5,0.4
Winter 2014-15,CD,311,6,Bensonhurst (CD11),0.4,0.5,0.5
Winter 2014-15,CD,312,6,Borough Park (CD12),0.4,0.5,0.5
Winter 2014-15,CD,313,6,Coney Island (CD13),0.4,0.4,0.4
Winter 2014-15,CD,314,6,Flatbush and Midwood (CD14),0.5,0.6,0.5
Winter 2014-15,CD,315,6,Sheepshead Bay (CD15),0.4,0.5,0.4
Winter 2014-15,CD,316,6,Brownsville (CD16),0.5,0.5,0.5
Winter 2014-15,CD,317,6,East Flatbush (CD17),0.4,0.5,0.5
Winter 2014-15,CD,318,6,Flatlands and Canarsie (CD18),0.4,0.4,0.4
Winter 2014-15,CD,401,6,Long Island City and Astoria (CD1),0.7,1.0,0.8
Winter 2014-15,CD,402,6,Woodside and Sunnyside (CD2),0.6,0.9,0.7
Winter 2014-15,CD,403,6,Jackson Heights (CD3),0.7,1.1,0.9
Winter 2014-15,CD,404,6,Elmhurst and Corona (CD4),0.7,1.1,0.9
Winter 2014-15,CD,405,6,Ridgewood and Maspeth (CD5),0.5,0.6,0.6
Winter 2014-15,CD,406,6,Rego Park and Forest Hills (CD6),0.5,0.8,0.6
Winter 2014-15,CD,407,6,Flushing and Whitestone (CD7),0.6,0.8,0.7
Winter 2014-15,CD,408,6,Hillcrest and Fresh Meadows (CD8),0.5,0.6,0.5
Winter 2014-15,CD,409,6,Kew Gardens and Woodhaven (CD9),0.5,0.6,0.5
Winter 2014-15,CD,410,6,South Ozone Park and Howard Beach (CD10),0.4,0.5,0.4
Winter 2014-15,CD,411,6,Bayside and Little Neck (CD11),0.5,0.6,0.6
Winter 2014-15,CD,412,6,Jamaica and Hollis (CD12),0.4,0.5,0.4
Winter 2014-15,CD,413,6,Queens Village (CD13),0.3,0.5,0.4
Winter 2014-15,CD,414,6,Rockaway and Broad Channel (CD14),0.3,0.3,0.3
Winter 2014-15,CD,501,6,St. George and Stapleton (CD1),0.3,0.4,0.3
Winter 2014-15,CD,502,6,South Beach and Willowbrook (CD2),0.2,0.3,0.3
Winter 2014-15,CD,503,6,Tottenville and Great Kills (CD3),0.2,0.3,0.2
Winter 2014-15,UHF42,101,4,Kingsbridge - Riverdale,0.8,1.3,1.0
Winter 2014-15,UHF42,102,4,Northeast Bronx,1.0,1.3,1.1
Winter 2014-15,UHF42,103,4,Fordham - Bronx Pk,1.1,2.0,1.5
Winter 2014-15,UHF42,104,4,Pelham - Throgs Neck,0.8,1.2,1.0
Winter 2014-15,UHF42,105,4,Crotona -Tremont,1.0,1.8,1.4
Winter 2014-15,UHF42,106,4,High Bridge - Morrisania,0.9,1.6,1.2
Winter 2014-15,UHF42,107,4,Hunts Point - Mott Haven,0.7,1.0,0.8
Winter 2014-15,UHF42,201,4,Greenpoint,0.5,0.6,0.6
Winter 2014-15,UHF42,202,4,Downtown - Heights - Slope,0.4,0.5,0.5
Winter 2014-15,UHF42,203,4,Bedford Stuyvesant - Crown Heights,0.5,0.5,0.5
Winter 2014-15,UHF42,204,4,East New York,0.4,0.5,0.5
Winter 2014-15,UHF42,205,4,Sunset Park,0.4,0.5,0.4
Winter 2014-15,UHF42,206,4,Borough Park,0.4,0.5,0.5
Winter 2014-15,UHF42,207,4,East Flatbush - Flatbush,0.4,0.6,0.5
Winter 2014-15,UHF42,208,4,Canarsie - Flatlands,0.4,0.4,0.4
Winter 2014-15,UHF42,209,4,Bensonhurst - Bay Ridge,0.4,0.5,0.4
Winter 2014-15,UHF42,210,4,Coney Island - Sheepshead Bay,0.4,0.5,0.4
Winter 2014-15,UHF42,211,4,Williamsburg - Bushwick,0.6,0.6,0.6
Winter 2014-15,UHF42,301,4,Washington Heights,1.2,1.8,1.5
Winter 2014-15,UHF42,302,4,Central Harlem - Morningside Heights,0.9,1.3,1.1
Winter 2014-15,UHF42,303,4,East Harlem,0.8,1.2,1.0
Winter 2014-15,UHF42,304,4,Upper West Side,1.1,1.6,1.4
Winter 2014-15,UHF42,305,4,Upper East Side,1.0,1.9,1.5
Winter 2014-15,UHF42,306,4,Chelsea - Clinton,0.8,1.5,1.1
Winter 2014-15,UHF42,307,4,Gramercy Park - Murray Hill,1.1,1.6,1.3
Winter 2014-15,UHF42,308,4,Greenwich Village - SoHo,0.6,1.2,0.9
Winter 2014-15,UHF42,309,4,Union Square - Lower East Side,0.6,1.5,1.0
Winter 2014-15,UHF42,310,4,Lower Manhattan,0.5,0.7,0.6
Winter 2014-15,UHF42,401,4,Long Island City - Astoria,0.6,1.0,0.8
Winter 2014-15,UHF42,402,4,West Queens,0.6,1.0,0.8
